Ticker,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,conditions,indicators,participant_timestamp,sequence_number,sip_timestamp,tape,trf_timestamp
MSFT,19,0,0,19,0,0,19,,1679990340007888000,941,1679990340010084598,3,0
MSFT,8,0,0,8,0,0,19,,1679990340086205000,1714,1679990340087539862,3,0
MSFT,0,0,0,12,275.33,2,1,,1679990400004452251,3178,1679990400004468151,3,0
MSFT,11,277.01,3,12,275.33,2,1,,1679990400018372096,3886,1679990400018726518,3,0
MSFT,11,277.01,8,12,275.33,2,1,,1679990400018372864,3890,1679990400018732381,3,0
MSFT,11,276.4,1,12,275.33,2,1,,1679990400018940160,3939,1679990400019291802,3,0
MSFT,11,276.4,1,11,275.35,1,1,,1679990400018981120,3940,1679990400019332609,3,0
MSFT,11,276.18,1,11,275.35,1,1,,1679990400018987776,3941,1679990400019343335,3,0
MSFT,11,276.2,1,11,275.35,1,1,,1679990400023727616,4348,1679990400024080518,3,0
MSFT,11,276.23,2,11,275.35,1,1,,1679990400023774208,4351,1679990400024125082,3,0
MSFT,11,276.27,1,11,275.35,1,1,,1679990400023774464,4352,1679990400024129991,3,0
MSFT,11,276.39,1,11,275.35,1,1,,1679990400023775232,4353,1679990400024130046,3,0
MSFT,11,276.39,1,8,275.44,1,1,,1679990400000110000,4887,1679990400032401184,3,0
MSFT,11,276.39,1,8,275.6,1,1,,1679990400000110000,4920,1679990400032757786,3,0
MSFT,11,276.39,1,8,276.75,1,1,,1679990400000110000,4936,1679990400033123617,3,0
MSFT,11,276.39,1,8,276.69,1,1,,1679990400000110000,5006,1679990400034853339,3,0
MSFT,11,276.39,1,8,275.6,1,1,,1679990400000110000,5008,1679990400034882501,3,0
MSFT,11,276.39,1,8,275.44,1,1,,1679990400067336000,5692,1679990400067540947,3,0
MSFT,11,276.4,1,8,275.44,1,1,,1679990400144741376,5804,1679990400145082167,3,0
MSFT,11,276.7,1,8,275.44,1,1,,1679990400440760832,5959,1679990400441100413,3,0
MSFT,11,276.4,1,8,275.44,1,1,,1679990400442362368,5964,1679990400442701969,3,0
MSFT,11,276.4,1,12,275.5,2,1,,1679990402549620289,6515,1679990402549633748,3,0
MSFT,11,276.4,1,12,275.52,2,1,,1679990403186930193,6609,1679990403186943233,3,0
MSFT,8,276.39,1,12,275.52,2,1,,1679990405225283000,6889,1679990405225476224,3,0
MSFT,8,276.39,1,12,275.65,2,1,,1679990405333672953,6900,1679990405333685491,3,0
MSFT,8,276.39,1,11,275.44,1,1,,1679990405415856403,6907,1679990405415869311,3,0
MSFT,8,276.39,1,12,275.52,2,1,,1679990405415871331,6908,1679990405415883738,3,0
